model,budget,arm,mean,lo,hi
vicuna-13b-v1.5,50,STATIC-single-method,0.42383333333333334,0.4184308333333333,0.4292675000000001
vicuna-13b-v1.5,100,ADAPTIVE-escal+thompson,0.8575,0.8541333333333334,0.8607675
vicuna-13b-v1.5,100,ADAPTIVE-escalation,0.95,0.95,0.95
vicuna-13b-v1.5,100,ADAPTIVE-succ-halving,0.6804666666666667,0.6773666666666667,0.6834008333333333
vicuna-13b-v1.5,100,ADAPTIVE-thompson,0.6759,0.6699308333333334,0.6816358333333333
vicuna-13b-v1.5,100,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,100,STATIC-best-method(oracle),0.95,0.95,0.95
vicuna-13b-v1.5,100,STATIC-round-robin,0.95,0.95,0.95
vicuna-13b-v1.5,100,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
vicuna-13b-v1.5,150,ADAPTIVE-escal+thompson,0.96,0.96,0.96
vicuna-13b-v1.5,150,ADAPTIVE-escalation,0.96,0.96,0.96
vicuna-13b-v1.5,150,ADAPTIVE-succ-halving,0.8702333333333333,0.8676333333333334,0.8732333333333334
vicuna-13b-v1.5,150,ADAPTIVE-thompson,0.8769333333333332,0.8698975000000001,0.8835675
vicuna-13b-v1.5,150,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,150,STATIC-best-method(oracle),0.95,0.95,0.95
vicuna-13b-v1.5,150,STATIC-round-robin,0.95,0.95,0.95
vicuna-13b-v1.5,150,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
vicuna-13b-v1.5,200,ADAPTIVE-escal+thompson,0.96,0.96,0.96
vicuna-13b-v1.5,200,ADAPTIVE-escalation,0.96,0.96,0.96
vicuna-13b-v1.5,200,ADAPTIVE-succ-halving,0.9457333333333334,0.9441999999999999,0.9472333333333334
vicuna-13b-v1.5,200,ADAPTIVE-thompson,0.9393666666666667,0.9367991666666667,0.9418675
vicuna-13b-v1.5,200,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,200,STATIC-best-method(oracle),0.95,0.95,0.95
vicuna-13b-v1.5,200,STATIC-round-robin,0.95,0.95,0.95
vicuna-13b-v1.5,200,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
vicuna-13b-v1.5,300,ADAPTIVE-escal+thompson,0.96,0.96,0.96
vicuna-13b-v1.5,300,ADAPTIVE-escalation,0.96,0.96,0.96
vicuna-13b-v1.5,300,ADAPTIVE-succ-halving,0.9504666666666666,0.9494325000000001,0.9512999999999999
vicuna-13b-v1.5,300,ADAPTIVE-thompson,0.9506666666666668,0.95,0.9512333333333334
vicuna-13b-v1.5,300,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,300,STATIC-best-method(oracle),0.95,0.95,0.95
vicuna-13b-v1.5,300,STATIC-round-robin,0.95,0.95,0.95
vicuna-13b-v1.5,300,STATIC-single-method,0.8474666666666667,0.8365983333333333,0.8576708333333332
vicuna-13b-v1.5,400,ADAPTIVE-escal+thompson,0.96,0.96,0.96
vicuna-13b-v1.5,400,ADAPTIVE-escalation,0.96,0.96,0.96
vicuna-13b-v1.5,400,ADAPTIVE-succ-halving,0.9520666666666667,0.9512999999999999,0.9526999999999998
vicuna-13b-v1.5,400,ADAPTIVE-thompson,0.9531333333333333,0.9525999999999999,0.9536666666666666
vicuna-13b-v1.5,400,ORACLE,0.96,0.96,0.96
vicuna-13b-v1.5,400,STATIC-best-method(oracle),0.95,0.95,0.95
